Project,Dataset,Age,LoC,Total Commits,Source buildable commits,Source buildability,Test buildable commits,Test buildability_A,Test buildability_S,Fully Testable commits,FullyTestability_A,FullyTestability_T,TestabilityRate_A,TestabilityRate_A_std,TestabilityRate_T,TestabilityRate_T_std
Activiti,ManySStub4J,4017,150104.0,10758,8169,0.7593418851087562,7242,0.6731734523145566,0.8865222181417555,928,0.08626138687488381,0.12814139740403205,0.6613241930610338,0.4648885113012924,0.9823979106532177,0.07481498536336467
javapoet,ManySStub4J,3240,8306.0,846,398,0.47044917257683216,396,0.46808510638297873,0.9949748743718593,396,0.46808510638297873,1.0,0.46808510638297873,0.4992755673539572,1.0,0.0
jedis,ManySStub4J,4022,35265.0,1817,1766,0.9719317556411667,1749,0.9625756741882223,0.9903737259343148,2,0.001100715465052284,0.0011435105774728416,0.07293799371304192,0.05575841011419463,0.0757737762015993,0.05490851040260429
jfinal,ManySStub4J,3203,4977.0,473,360,0.7610993657505285,79,0.16701902748414377,0.21944444444444444,79,0.16701902748414377,1.0,0.16701902748414377,0.3733877682579404,1.0,0.0
jsonschema2pojo,ManySStub4J,3795,14450.0,1188,248,0.20875420875420875,245,0.20622895622895623,0.9879032258064516,174,0.14646464646464646,0.710204081632653,0.20537204588138858,0.4031012723572346,0.9958448592126108,0.007906789945405784
jsoup,ManySStub4J,4059,17831.0,1442,1410,0.9778085991678225,1403,0.9729542302357836,0.9950354609929078,1349,0.9355062413314841,0.9615110477548111,0.9683979947510897,0.1718340322286567,0.9953171122103145,0.0594653549744833
junit,ManySStub4J,7495,24366.0,2475,1168,0.4719191919191919,1166,0.4711111111111111,0.9982876712328768,528,0.21333333333333335,0.4528301886792453,0.4695935854818132,0.49769255036367355,0.9967788371076224,0.008620814203929175
libgdx,ManySStub4J,4127,172435.0,14695,1479,0.10064647839401157,150,0.010207553589656346,0.10141987829614604,150,0.010207553589656346,1.0,0.010207553589656346,0.10051888888850892,1.0,0.0
metrics,ManySStub4J,4139,24342.0,3018,1590,0.5268389662027833,1585,0.5251822398939695,0.9968553459119497,1312,0.4347249834327369,0.8277602523659306,0.5247809120536494,0.4990687731281044,0.9992358312794408,0.0020598934100187743
mybatis-3,ManySStub4J,4054,48946.0,3781,2093,0.5535572599841312,2090,0.5527638190954773,0.9985666507405638,1392,0.36815657233536103,0.6660287081339713,0.5519932255583349,0.49673394221589445,0.9986059262373512,0.016595546529364152
nanohttpd,ManySStub4J,5935,6004.0,599,531,0.8864774624373957,492,0.8213689482470785,0.9265536723163842,331,0.5525876460767947,0.6727642276422764,0.8175271263244254,0.3817622624797424,0.9953226598949813,0.013366209162716292
okhttp,ManySStub4J,3673,31833.0,4861,2374,0.4883768771857642,2372,0.4879654392100391,0.9991575400168492,46,0.009463073441678667,0.0193929173693086,0.44833540932378346,0.46228103614644717,0.9187851706251734,0.07495705310178717
